customer_id,segment,segment_priority,RFM_score,RFM_weighted_score
CUST_00344,Lost,5,4,1.3
CUST_00345,At-Risk,3,9,3.5
CUST_00346,At-Risk,3,9,2.4
CUST_00347,High-Value,1,15,5.0
CUST_00348,Lost,5,3,1.0
CUST_00349,New,4,8,3.3000000000000003
CUST_00350,High-Value,1,15,5.0
CUST_00351,Lost,5,4,1.5
CUST_00352,Loyal,2,11,3.2
CUST_00353,Loyal,2,12,4.0
CUST_00354,High-Value,1,13,4.2
CUST_00355,High-Value,1,14,4.7
CUST_00356,Lost,5,6,2.2
CUST_00357,Lost,5,4,1.2000000000000002
CUST_00358,New,4,7,2.2
CUST_00359,At-Risk,3,9,3.5
CUST_00360,New,4,8,2.2
CUST_00361,Loyal,2,11,3.9000000000000004
CUST_00362,High-Value,1,15,5.0
CUST_00363,At-Risk,3,9,2.8000000000000003
CUST_00364,Lost,5,5,2.0
CUST_00365,High-Value,1,13,4.6
CUST_00366,Lost,5,3,1.0
CUST_00367,High-Value,1,14,4.5
CUST_00368,At-Risk,3,9,2.9000000000000004
CUST_00369,New,4,8,2.9
CUST_00370,Lost,5,6,2.2
CUST_00371,Lost,5,3,1.0
CUST_00372,At-Risk,3,10,3.8
CUST_00373,Lost,5,4,1.2000000000000002
CUST_00374,New,4,8,3.3000000000000003
CUST_00375,At-Risk,3,10,3.7
CUST_00376,At-Risk,3,9,3.2
CUST_00377,At-Risk,3,10,3.5
CUST_00378,Lost,5,5,1.4000000000000001
CUST_00379,Loyal,2,11,4.0
CUST_00380,High-Value,1,13,4.0
CUST_00382,Loyal,2,12,3.7
CUST_00383,Loyal,2,11,4.0
CUST_00384,Loyal,2,12,4.0
CUST_00385,At-Risk,3,9,2.7
CUST_00386,High-Value,1,13,4.4
CUST_00387,New,4,7,2.0
CUST_00388,Lost,5,5,1.8
CUST_00389,Lost,5,4,1.2000000000000002
CUST_00390,Lost,5,3,1.0
CUST_00391,Loyal,2,11,3.2
CUST_00392,New,4,7,3.0
CUST_00393,At-Risk,3,9,3.2
CUST_00394,Loyal,2,12,3.7
CUST_00395,Lost,5,6,1.7000000000000002
CUST_00396,At-Risk,3,9,3.1
CUST_00397,Loyal,2,12,3.8
CUST_00398,At-Risk,3,9,3.3
CUST_00399,Lost,5,4,1.5
CUST_00400,At-Risk,3,9,2.8000000000000003
CUST_00401,Loyal,2,11,3.8000000000000003
CUST_00402,At-Risk,3,10,3.4
CUST_00403,New,4,7,2.0
CUST_00404,High-Value,1,14,4.8
CUST_00405,High-Value,1,13,4.0
CUST_00406,Lost,5,4,1.2000000000000002
CUST_00407,Loyal,2,12,3.5
CUST_00408,Lost,5,6,2.0
CUST_00409,Loyal,2,12,4.0
CUST_00410,New,4,8,2.6
CUST_00411,At-Risk,3,10,3.3000000000000003
CUST_00412,Lost,5,3,1.0
CUST_00413,High-Value,1,13,4.6
CUST_00414,New,4,7,2.3
CUST_00415,New,4,8,3.1999999999999997
CUST_00416,At-Risk,3,10,3.5
CUST_00417,At-Risk,3,10,3.7
CUST_00418,New,4,8,2.7
CUST_00419,Loyal,2,11,3.0
CUST_00420,At-Risk,3,10,2.9
CUST_00421,New,4,8,2.4000000000000004
CUST_00422,New,4,8,2.6
CUST_00423,New,4,7,2.3
CUST_00424,Loyal,2,11,4.0
CUST_00425,At-Risk,3,9,3.0
CUST_00426,At-Risk,3,9,2.4
CUST_00427,Lost,5,4,1.2000000000000002
CUST_00428,At-Risk,3,10,3.3000000000000003
CUST_00429,New,4,8,3.1999999999999997
CUST_00430,Loyal,2,11,3.2
CUST_00431,Loyal,2,12,4.1
CUST_00432,High-Value,1,13,4.0
CUST_00433,Lost,5,6,1.7999999999999998
CUST_00434,At-Risk,3,9,3.2
CUST_00435,Lost,5,4,1.2000000000000002
CUST_00436,Loyal,2,11,3.8000000000000003
CUST_00437,New,4,7,3.0
CUST_00438,New,4,7,1.9000000000000001
CUST_00439,Loyal,2,12,3.7
CUST_00440,At-Risk,3,9,2.6
CUST_00441,Lost,5,5,2.0
CUST_00442,High-Value,1,15,5.0
CUST_00443,Loyal,2,12,3.5
CUST_00444,New,4,7,2.6999999999999997
CUST_00445,Lost,5,5,1.7000000000000002
CUST_00446,At-Risk,3,9,2.7
CUST_00447,At-Risk,3,9,3.0
CUST_00448,Lost,5,5,1.4000000000000001
CUST_00449,At-Risk,3,9,3.0
CUST_00450,Loyal,2,11,4.0
CUST_00451,High-Value,1,14,4.8
CUST_00452,Lost,5,5,1.7000000000000002
CUST_00453,New,4,7,2.4000000000000004
CUST_00454,Lost,5,3,1.0
CUST_00455,At-Risk,3,9,2.7
CUST_00456,Loyal,2,12,3.5
CUST_00457,Lost,5,4,1.2000000000000002
CUST_00458,Lost,5,5,1.5
CUST_00459,At-Risk,3,10,3.3000000000000003
CUST_00460,High-Value,1,14,4.5
CUST_00461,High-Value,1,14,4.8
CUST_00462,Loyal,2,12,3.9
CUST_00463,Lost,5,5,1.5
CUST_00464,Lost,5,4,1.5
CUST_00465,Lost,5,6,2.2
CUST_00466,At-Risk,3,10,3.6
CUST_00467,New,4,7,2.6
CUST_00468,New,4,8,3.0
CUST_00469,Loyal,2,12,3.7
CUST_00470,High-Value,1,13,4.0
CUST_00471,Lost,5,3,1.0
CUST_00472,At-Risk,3,9,3.2
CUST_00473,Lost,5,5,1.7000000000000002
CUST_00474,Lost,5,3,1.0
CUST_00475,New,4,8,3.0
CUST_00476,High-Value,1,14,4.8
CUST_00477,Loyal,2,11,3.5
CUST_00478,High-Value,1,14,4.5
CUST_00479,High-Value,1,13,4.3
CUST_00480,Loyal,2,11,3.8000000000000003
CUST_00481,At-Risk,3,10,3.2
CUST_00482,Lost,5,3,1.0
CUST_00483,Loyal,2,12,4.300000000000001
CUST_00484,New,4,8,3.0
CUST_00485,Lost,5,5,1.5
CUST_00486,Lost,5,4,1.5
CUST_00487,High-Value,1,13,4.4
CUST_00488,New,4,8,3.1
CUST_00489,Loyal,2,11,3.9000000000000004
CUST_00490,High-Value,1,15,5.0
CUST_00491,High-Value,1,13,4.4
CUST_00492,Lost,5,3,1.0
CUST_00493,Lost,5,3,1.0
CUST_00494,At-Risk,3,10,3.0
CUST_00495,New,4,7,2.6999999999999997
CUST_00496,Loyal,2,11,3.5
CUST_00497,At-Risk,3,10,3.4000000000000004
CUST_00498,Loyal,2,11,3.3
CUST_00499,High-Value,1,14,4.7
CUST_00500,Lost,5,6,2.3000000000000003
