customer_id,cluster,recency,frequency,monetary,RFM_score
CUST_00241,0,22,2,263.84000000000003,7
CUST_00242,0,280,3,193.49,5
CUST_00243,1,75,5,1256.79,12
CUST_00244,0,142,3,286.19,6
CUST_00245,1,19,5,1442.98,14
CUST_00246,0,291,2,220.0,4
CUST_00247,1,22,3,1148.18,11
CUST_00248,0,299,2,327.92,4
CUST_00249,0,256,3,1075.42,8
CUST_00250,0,345,2,416.92,4
CUST_00251,0,581,2,1327.25,6
CUST_00252,1,66,6,2625.55,14
CUST_00253,0,435,2,563.5699999999999,4
CUST_00254,1,88,5,2137.99,13
CUST_00255,1,108,5,1368.86,11
CUST_00256,0,207,2,839.07,6
CUST_00257,0,532,2,591.0799999999999,4
CUST_00258,0,256,5,300.21000000000004,7
CUST_00259,1,79,6,816.36,12
CUST_00260,1,378,5,1532.53,10
CUST_00261,0,572,2,193.35,3
CUST_00262,1,58,4,908.92,10
CUST_00263,1,175,4,1286.37,10
CUST_00264,0,141,3,894.6600000000001,8
CUST_00265,0,247,3,368.35,5
CUST_00266,1,86,6,781.01,12
CUST_00267,0,19,3,428.30000000000007,9
CUST_00268,0,36,3,386.59,8
CUST_00269,0,456,1,350.18999999999994,3
CUST_00270,0,338,2,435.55,4
CUST_00271,1,28,5,1658.39,14
CUST_00272,0,464,4,1204.94,8
CUST_00273,1,162,5,1161.15,11
CUST_00274,0,477,3,356.85,4
CUST_00275,0,123,2,188.23,5
CUST_00276,0,23,3,906.29,10
CUST_00277,1,39,6,2449.68,15
CUST_00278,0,69,1,217.08,6
CUST_00279,0,324,3,423.72,5
CUST_00280,1,0,5,1422.22,14
CUST_00281,0,426,2,372.43,3
CUST_00282,1,125,5,627.78,9
CUST_00283,1,443,5,1296.61,9
CUST_00284,1,93,3,1417.13,11
CUST_00285,0,295,3,491.82,6
CUST_00286,1,232,8,1829.16,12
CUST_00287,0,227,3,301.43,5
CUST_00288,0,40,3,719.28,10
CUST_00289,1,95,3,1151.1999999999998,10
CUST_00290,1,17,6,2418.56,15
CUST_00291,0,316,2,351.54,4
CUST_00292,0,32,3,541.4300000000001,9
CUST_00293,1,81,4,2285.4,12
CUST_00294,0,446,2,366.99,3
CUST_00295,0,250,2,148.94,4
CUST_00296,0,84,3,723.6700000000001,9
CUST_00297,0,27,4,453.65,10
CUST_00298,0,263,3,1340.44,8
CUST_00299,1,38,5,1385.72,14
CUST_00300,0,527,3,111.11,4
CUST_00301,1,225,7,1232.12,11
CUST_00302,1,30,6,1505.75,15
CUST_00303,1,6,4,926.83,11
CUST_00304,0,539,2,1138.4,6
CUST_00305,0,376,3,585.46,5
CUST_00306,1,168,5,1256.9499999999998,11
CUST_00307,1,50,5,1179.11,12
CUST_00308,0,451,3,904.15,6
CUST_00309,0,318,3,1130.34,7
CUST_00310,1,87,5,960.74,11
CUST_00311,1,24,5,720.98,12
CUST_00312,0,99,3,443.55,8
CUST_00313,1,100,5,1779.19,13
CUST_00314,0,41,3,663.74,9
CUST_00315,0,255,3,462.87,6
CUST_00316,0,445,2,245.47,3
CUST_00317,0,158,2,365.25,5
CUST_00318,1,32,4,1833.43,13
CUST_00319,0,363,4,1233.58,8
CUST_00320,1,313,5,1306.53,10
CUST_00321,0,594,2,328.66,3
CUST_00322,1,85,5,1678.48,13
CUST_00323,0,341,4,1038.22,7
CUST_00324,0,215,3,588.12,6
CUST_00325,1,59,6,1378.74,14
CUST_00326,1,32,5,1128.1799999999998,13
CUST_00327,1,160,7,2233.57,13
CUST_00328,1,60,5,1321.53,12
CUST_00329,0,234,4,1106.2,9
CUST_00330,0,191,2,146.92000000000002,4
CUST_00331,0,87,3,529.56,8
CUST_00332,0,380,2,501.06,4
CUST_00333,0,378,4,504.95,6
CUST_00334,0,14,3,343.01,8
CUST_00335,1,2,9,2407.77,15
CUST_00336,1,129,6,1614.38,13
CUST_00337,0,113,1,502.53,6
CUST_00338,1,23,8,1576.77,15
CUST_00339,0,158,1,79.7,5
CUST_00340,0,251,3,1155.37,8
CUST_00341,1,150,5,1285.33,11
CUST_00342,0,27,2,85.28,7
CUST_00343,0,252,4,663.13,7
CUST_00344,0,380,3,244.67,4
CUST_00345,0,8,3,681.87,9
CUST_00346,1,366,4,1579.3200000000002,9
CUST_00347,1,33,6,1585.62,15
CUST_00348,0,495,2,172.72,3
CUST_00349,0,11,3,281.81,8
CUST_00350,1,8,7,2209.43,15
CUST_00351,0,253,1,25.56,4
CUST_00352,1,207,5,1455.93,11
CUST_00353,1,88,5,1245.72,12
CUST_00354,1,84,5,1465.42,13
CUST_00355,1,32,5,1646.49,14
CUST_00356,0,173,1,465.3,6
CUST_00357,0,654,2,591.5999999999999,4
CUST_00358,0,251,3,798.49,7
CUST_00359,0,32,3,688.24,9
CUST_00360,0,352,4,1077.26,8
CUST_00361,1,12,3,1191.88,11
CUST_00362,1,6,7,1568.41,15
CUST_00363,0,270,5,724.61,9
CUST_00364,0,178,2,172.76000000000002,5
CUST_00365,1,21,6,931.05,13
CUST_00366,0,436,1,201.8,3
CUST_00367,1,51,6,2041.5,14
CUST_00368,0,153,3,1162.02,9
CUST_00369,0,75,2,714.8399999999999,8
CUST_00370,0,106,2,443.75,6
CUST_00371,0,352,2,200.31,3
CUST_00372,0,26,4,472.81,10
CUST_00373,0,448,1,612.7800000000001,4
CUST_00374,0,21,3,299.85,8
CUST_00375,1,12,3,1004.06,10
CUST_00376,0,100,3,900.1800000000001,9
CUST_00377,0,90,4,764.0,10
CUST_00378,0,502,2,736.6500000000001,5
CUST_00379,1,36,4,1025.32,11
CUST_00380,1,109,8,2126.31,13
CUST_00382,1,148,5,2066.34,12
CUST_00383,1,28,4,879.1500000000001,11
CUST_00384,1,46,5,1177.3200000000002,12
CUST_00385,1,199,4,1074.6,9
CUST_00386,1,14,4,1470.5700000000002,13
CUST_00387,0,355,4,757.03,7
CUST_00388,0,294,3,396.59,5
CUST_00389,0,410,2,585.14,4
CUST_00390,0,487,2,48.06,3
CUST_00391,1,191,5,1380.9199999999998,11
CUST_00392,0,40,1,261.92,7
CUST_00393,0,79,3,972.23,9
CUST_00394,1,104,5,1688.0700000000002,12
CUST_00395,0,396,3,713.13,6
CUST_00396,0,111,5,434.21,9
CUST_00397,1,167,6,1344.06,12
CUST_00398,0,95,4,679.61,9
CUST_00399,0,307,1,182.54,4
CUST_00400,1,241,5,853.8199999999999,9
CUST_00401,1,95,5,777.24,11
CUST_00402,1,143,6,577.55,10
CUST_00403,0,417,4,993.6,7
CUST_00404,1,11,6,1209.31,14
CUST_00405,1,108,8,1863.43,13
CUST_00406,0,419,2,593.96,4
CUST_00407,1,221,6,1396.36,12
CUST_00408,0,251,3,658.81,6
CUST_00409,1,48,5,1070.92,12
CUST_00410,0,147,2,1094.33,8
CUST_00411,1,153,5,725.49,10
CUST_00412,0,589,2,139.81,3
CUST_00413,1,8,7,929.01,13
CUST_00414,0,215,4,621.7,7
CUST_00415,0,37,2,690.93,8
CUST_00416,1,75,4,873.49,10
CUST_00417,1,13,3,1006.22,10
CUST_00418,0,108,3,743.35,8
CUST_00419,1,325,6,1688.4,11
CUST_00420,1,219,4,2102.06,10
CUST_00421,0,290,3,1269.85,8
CUST_00422,0,214,5,626.72,8
CUST_00423,0,255,4,644.29,7
CUST_00424,1,17,4,968.43,11
CUST_00425,0,115,4,731.27,9
CUST_00426,1,331,4,1652.64,9
CUST_00427,0,386,1,655.5500000000001,4
CUST_00428,1,153,5,1048.41,10
CUST_00429,0,12,2,449.49,8
CUST_00430,1,211,5,2000.32,11
CUST_00431,1,72,7,1021.5,12
CUST_00432,1,151,7,2022.27,13
CUST_00433,0,387,4,562.9,6
CUST_00434,0,82,3,982.39,9
CUST_00435,0,318,1,491.04,4
CUST_00436,1,46,5,964.6,11
CUST_00437,0,25,1,150.36,7
CUST_00438,0,351,3,1053.78,7
CUST_00439,1,147,5,1644.83,12
CUST_00440,1,328,6,893.01,9
CUST_00441,0,121,2,170.44,5
CUST_00442,1,36,7,1608.03,15
CUST_00443,1,305,6,1741.65,12
CUST_00444,0,72,2,448.47,7
CUST_00445,0,230,2,427.08,5
CUST_00446,1,225,4,1345.71,9
CUST_00447,1,150,4,960.84,9
CUST_00448,0,403,2,969.95,5
CUST_00449,0,112,4,805.86,9
CUST_00450,1,13,4,869.34,11
CUST_00451,1,34,6,1187.38,14
CUST_00452,0,219,2,678.39,5
CUST_00453,0,146,2,799.37,7
CUST_00454,0,380,2,382.02,3
CUST_00455,1,290,4,1311.06,9
CUST_00456,1,247,6,1536.03,12
CUST_00457,0,683,1,567.84,4
CUST_00458,0,385,3,502.24,5
CUST_00459,1,135,5,948.48,10
CUST_00460,1,71,8,1506.61,14
CUST_00461,1,27,6,1318.01,14
CUST_00462,1,79,4,1586.37,12
CUST_00463,0,469,3,657.7,5
CUST_00464,0,226,2,287.39,4
CUST_00465,0,163,2,433.77,6
CUST_00466,1,49,5,621.4000000000001,10
CUST_00467,0,112,4,378.95,7
CUST_00468,0,46,3,595.77,8
CUST_00469,1,105,5,1967.63,12
CUST_00470,1,125,6,1645.99,13
CUST_00471,0,500,2,372.28,3
CUST_00472,0,49,3,802.47,9
CUST_00473,0,239,2,630.3199999999999,5
CUST_00474,0,475,2,273.16,3
CUST_00475,0,97,3,444.27,8
CUST_00476,1,29,7,1351.9399999999998,14
CUST_00477,1,134,5,1231.2200000000005,11
CUST_00478,1,75,8,1602.96,14
CUST_00479,1,77,6,1100.44,13
CUST_00480,1,63,5,909.29,11
CUST_00481,1,154,4,1111.0800000000002,10
CUST_00482,0,540,1,186.64,3
CUST_00483,1,15,5,750.85,12
CUST_00484,0,76,3,589.53,8
CUST_00485,0,596,3,710.37,5
CUST_00486,0,211,1,94.16,4
CUST_00487,1,39,4,1568.32,13
CUST_00488,0,94,4,362.6,8
CUST_00489,1,15,3,1310.81,11
CUST_00490,1,10,7,2762.19,15
CUST_00491,1,30,4,1748.05,13
CUST_00492,0,663,2,362.11,3
CUST_00493,0,324,1,99.16,3
CUST_00494,1,215,5,1228.72,10
CUST_00495,0,78,1,565.8,7
CUST_00496,1,132,5,1153.2800000000002,11
CUST_00497,0,73,3,1071.79,10
CUST_00498,1,191,6,1215.93,11
CUST_00499,1,13,5,1833.4,14
CUST_00500,0,174,3,370.87,6
